,Family,Subfamily,Genus,Species,,Common Name,Habitat,Abundance,Occurrence,F,FE,OP,UG,Remarks
121,Nymphalidae,Nymphalinae,Junonia,lemonias,"Linnaeus, 1758",Lemon Pansy,"Forest edges, grasslands, gardens",Common,CW,yes,yes,yes,yes,"Seen across habitats, among the most common"
122,Nymphalidae,Nymphalinae,Junonia,orithya,"Linnaeus, 1758",Blue Pansy,Grasslands and open habitats,Uncommon,UW,no,no,yes,yes,Seen only in scrub regions and open habitat
123,Nymphalidae,Nymphalinae,Kallima,inachus,"Doyere, 1840",Orange Oakleaf,Forests,Uncommon,UN,yes,no,no,no,"Seen in Karlapat and Porgel RF, Urladani RF, Gundi RF"
124,Nymphalidae,Satyrinae,Elymnias,hypermnestra,"Linnaeus, 1763",Common Palmfly,"Forest edges, grasslands, gardens",Abundant,CW,yes,yes,yes,yes,Seen in a variety of habitats
125,Nymphalidae,Satyrinae,Lethe,drypetis,"Hewitson, 1863",Tamil Treebrown,Forests,Rare,RN,yes,no,no,no,"Seen in Jakam, Khandualmali, Manikera - all dense forest habitats"
126,Nymphalidae,Satyrinae,Lethe,europa,"Fabricius, 1787",Bamboo Treebrown,Forests,Uncommon,UN,yes,no,no,no,"Seen in forested tracts, often near bamboo clumps"
127,Nymphalidae,Satyrinae,Melanitis,leda,"Linnaeus, 1758",Common Evening Brown,"Forests, forest edges, open habitats, gardens",Abundant,CW,yes,yes,yes,yes,Widespread even in urban areas and human settlements
128,Nymphalidae,Satyrinae,Melanitis,phedima,"Linnaeus, 1858",Dark Evening Brown,Forests,Rare,RN,yes,no,no,no,One record from Jerka RF (24-11-2024)
129,Nymphalidae,Satyrinae,Melanitis,zitenius,"Herbst, 1796",Great Evening Brown,Forests,Rare,RN,yes,no,no,no,One record from Karlapat (4-1-2025)
130,Nymphalidae,Satyrinae,Mycalesis,mineus,"Linnaeus, 1858",Dark Brand Bushbrown,Forests,Rare,RN,yes,no,no,no,Seen once in Karlapat
131,Nymphalidae,Satyrinae,Mycalesis,perseus,"Fabricius, 1775",Common Bushbrown,"Forests, forest edges, gardens, open habitats",Abundant,CW,yes,yes,no,yes,Abundant across habitats
132,Nymphalidae,Satyrinae,Mycalesis,subdita,"Moore, 1890",Tamil Bushbrown,Forests,Rare,RN,yes,no,no,no,One record from Karlapat Sanctuary (14-1-2024)
133,Nymphalidae,Satyrinae,Mycalesis,visala,"Moore, 1857",Long Brand Bushbrown,Forests,Rare,RN,yes,no,no,no,Records from Karlapat Sanctuary
134,Nymphalidae,Satyrinae,Orsotriaena,medus,"Linnaeus, 1775",Medus Brown,Forests,Common,CN,yes,no,no,yes,Common in forested areas
135,Nymphalidae,Satyrinae,Ypthima,asterope,"Klug, 1832",Common Three Ring,"Forests, forest edges",Rare,RN,yes,no,no,no,Records from Karlapat in January
136,Nymphalidae,Satyrinae,Ypthima,baldus,"Fabricius, 1775",Common Five Ring,"Forests, forest edges",Rare,RN,yes,yes,no,no,Records from Jakam and Taprang in November
